Tweet,Sentiment,cleaned
RT @hillarypeters23: This is the Uninfluenced LAGOS STATE Results collected by LP party agents from live polling units before rigging magic…,positive,RT hillarypeters23 Uninfluenced LAGOS STATE Results collected LP party agents live polling units rigging magic
"Check this out! https://t.co/DedSp9SgTU

#instagramdown #INECElectionResult #ELLUP #Batman #cityboy https://t.co/6MX1HbkOPs",neutral,Check instagramdown INECElectionResult ELLUP Batman cityboy
RT @MrsXO14: But men in a country of 120 million + people we sef no try with this total number of voters🤦🏾‍♀️ #INECElectionResult #election…,neutral,RT MrsXO14 men country 120 million people sef try total number voters INECElectionResult election
"We are already 90 per cent there. We need to bring this thing home. I want you to understand that the moment we take Lagos, this fire of a new type of politics will engulf Nigeria.
Very true
VOTE LP👏👏👏👏let the real political change set in tv #INECElectionResult  #chanelstv",positive,already 90 per cent need bring thing home want understand moment take Lagos fire new type politics engulf Nigeria true VOTE LPlet real political change set tv INECElectionResult chanelstv
RT @hillarypeters23: This is the Uninfluenced LAGOS STATE Results collected by LP party agents from live polling units before rigging magic…,positive,RT hillarypeters23 Uninfluenced LAGOS STATE Results collected LP party agents live polling units rigging magic
RT @hillarypeters23: This is the Uninfluenced LAGOS STATE Results collected by LP party agents from live polling units before rigging magic…,positive,RT hillarypeters23 Uninfluenced LAGOS STATE Results collected LP party agents live polling units rigging magic
"RT @AhanotuIkenna: Jahi: 2-bed fully furnished apartment with gym, CCTV, generator, wifi, smart home features, elevator. Price: 75m #AbujaT…",positive,RT AhanotuIkenna Jahi 2bed fully furnished apartment gym CCTV generator wifi smart home features elevator Price 75m AbujaT
"RT @EniyeAmeze: LP won overwhelming in Imo State &amp; I was happy for them - Emeka Ihedioha PDP member

𝗢𝗯𝗶 𝗮𝗻𝗱 𝗔𝘁𝗶𝗸𝘂 Section 299 President El…",positive,RT EniyeAmeze LP overwhelming Imo State amp happy Emeka Ihedioha PDP member Section 299 President El
This little baby always smiles at the every single mention of @PeterObi @PeterObi #victory #fypviral #nigeria #INECElectionResult #snow #baby this little boys name is Obi. #ObiIsWinningEverywhere  #ObiWon #ObiIsWinningEverywhere #victory #fypviral https://t.co/aQRC9YpYw4,negative,little baby always smiles every single mention PeterObi PeterObi victory fypviral nigeria INECElectionResult snow baby little boys name Obi ObiIsWinningEverywhere ObiWon ObiIsWinningEverywhere victory fypviral
"RT @etetafia: Inec robbed Nigerians of Joy! Surprisingly no state is celebrating that APC won

Pastor Adeboye
#INECElectionResult
#INECFail…",positive,RT etetafia Inec robbed Nigerians Joy Surprisingly state celebrating APC Pastor Adeboye INECElectionResult INECFail
"#INECElectionResult #InternationalWomensDay #NigeriaDecides 
#snow 
Everything in those hashtags is vexing me. https://t.co/d4kmSYJIFK",neutral,INECElectionResult InternationalWomensDay NigeriaDecides snow Everything hashtags vexing
"If you are a person with disability and you voted during the Presidential Election, here is the link to share your experience
https://t.co/4Ao3qOxJnU

#TheNigeriaWeWant #INECElectionResult #2023Election",neutral,person disability voted Presidential Election link share experience TheNigeriaWeWant INECElectionResult 2023Election
"RT @FavourEnebeli4: TOWELS FULLY STOCKED AS WELL!

ALL COLOURS IN THE LIVE VIDEO

TWO SIZES

MEDIUM SIZE - N6,500

LARGE SIZE N7,500

VERY…",positive,RT FavourEnebeli4 TOWELS FULLY STOCKED WELL COLOURS LIVE VIDEO TWO SIZES MEDIUM SIZE N6500 LARGE SIZE N7500
RT @inanarth4: Ahhh they only change logo ooooo. They forget to change the initials. #PeterObiIsComing #INECElectionResult #KennethOkonkwo…,neutral,RT inanarth4 Ahhh change logo ooooo forget change initials PeterObiIsComing INECElectionResult KennethOkonkwo
"RT @NewsCentralTV: There is nobody, no observer that has said “ON RECORD” that BVAS didn’t work! -@omoluwabi , Public Affairs Analyst #Nige…",neutral,RT NewsCentralTV nobody observer said RECORD BVAS didnt work omoluwabi Public Affairs Analyst Nige
"There is nobody, no observer that has said “ON RECORD” that BVAS didn’t work! -@omoluwabi , Public Affairs Analyst #NigeriaPresidentialElections #PHQ 

Do you agree? Share your thoughts 👇🏾

#NigeriaDecides2023 #NigeriaElections2023 #INECElectionResult #newscentraltv #PoliticsHQ https://t.co/O3xM9W4fyN",neutral,nobody observer said RECORD BVAS didnt work omoluwabi Public Affairs Analyst NigeriaPresidentialElections PHQ agree Share thoughts NigeriaDecides2023 NigeriaElections2023 INECElectionResult newscentraltv PoliticsHQ
"RT @4Nonso: It begins. The response to our environment is what sets us on our paths for the future. 

@inecnigeria has a chance to mend a r…",neutral,RT 4Nonso begins response environment sets us paths future inecnigeria chance mend r
RT @daveliony: Violence is never an option. Keep the peace and let the law take its Course.#INECElectionResult,neutral,RT daveliony Violence never option Keep peace let law take CourseINECElectionResult
"RT @NapThecrazy: This is the Nigeria  we have today...
See what a Lawyer tweeted.

#electionresults2023 BVAS  Section 299 #INECElectionResu…",neutral,RT NapThecrazy Nigeria today See Lawyer tweeted electionresults2023 BVAS Section 299 INECElectionResu
"If conducting a free and fair election in Nigeria is too challenging, do the honorable thing and resign, stop giving flimsy excuses,
Nigerians deserves better.
#INECElectionResult
#Obidients #ObiIsComing",positive,conducting free fair election Nigeria challenging honorable thing resign stop giving flimsy excuses Nigerians deserves better INECElectionResult Obidients ObiIsComing
"RT @rockrubber: @HisKnowledgeabl @inecnigeria chairman should step outside and face investigating panels....

He committed treason.....

#I…",neutral,RT rockrubber HisKnowledgeabl inecnigeria chairman step outside face investigating panels committed treason
"RT @DEMYHEALTH: We offer Hepatitis D test @DEMYHEALTH. Contact or send samples for your test. 
.
.
#Health #Diagnosis #DemyHealth #protest…",neutral,RT DEMYHEALTH offer Hepatitis test DEMYHEALTH Contact send samples test Health Diagnosis DemyHealth protest
"We offer Hepatitis D test @DEMYHEALTH. Contact or send samples for your test. 
.
.
#Health #Diagnosis #DemyHealth #protest #INECElectionResult Abuja Lagos #opay Nigeria Rufai https://t.co/J42tf5KcnQ",neutral,offer Hepatitis test DEMYHEALTH Contact send samples test Health Diagnosis DemyHealth protest INECElectionResult Abuja Lagos opay Nigeria Rufai
"RT @chinanalyst7110: They, @inecnigeria, are apparently scared of their 'shady' shadows.

If not, give me another definition of ""fraud"".…",negative,RT chinanalyst7110 inecnigeria apparently scared shady shadows give another definition fraud
"Looking for a beautiful design/branding that fits your budget?? 
Send a DM right now 😁

We make your designs come to life #GRVforGOVERNOR #PeterObiMyPresident #ObidientMovement #INECElectionResult https://t.co/xYuGyo6jjv",positive,Looking beautiful designbranding fits budget Send DM right make designs come life GRVforGOVERNOR PeterObiMyPresident ObidientMovement INECElectionResult
"Truth is bitter: South-western Nigerians insists that Labour Party @NgLabour won the presidential election

#RedefineNigeria
#LabourParty
#LagosDecides2023
#lagoselection2023
#INECElectionResult

https://t.co/UNVYSJ9R5x",negative,Truth bitter Southwestern Nigerians insists Labour Party NgLabour presidential election RedefineNigeria LabourParty LagosDecides2023 lagoselection2023 INECElectionResult
"Truth is bitter: South-western Nigerians insists that Labour Party @NgLabour won the presidential election

#RedefineNigeria
#LabourParty
#LagosDecides2023
#lagoselection2023
#INECElectionResult

https://t.co/C2UE7QxIp0",negative,Truth bitter Southwestern Nigerians insists Labour Party NgLabour presidential election RedefineNigeria LabourParty LagosDecides2023 lagoselection2023 INECElectionResult
Pray for Nigeria 🇳🇬#BABYMONSTERLastEvaluation #19years #SatishKaushik #snow #Welcome7DREAMtoThailand #INECElectionResult #BVAS,neutral,Pray Nigeria BABYMONSTERLastEvaluation 19years SatishKaushik snow Welcome7DREAMtoThailand INECElectionResult BVAS
"RT @iam_samedoho: Dear Nigerians, INEC doesn't have the capacity to run a free and fair election. What happened during the presidential ele…",positive,RT iamsamedoho Dear Nigerians INEC doesnt capacity run free fair election happened presidential ele
"RT @oluwaloninyo: Do the gubernatorial elections become immediately void, if results are not transmitted from polling units unto the INEC s…",neutral,RT oluwaloninyo gubernatorial elections become immediately void results transmitted polling units unto INEC
"RT @ApstFortune: So funny! He can't find his Balls 😅🤣😂

Pls follow: @ApstFortune

#ReadAcrossAmericaDay      #on_the_street     #sexlife…",positive,RT ApstFortune funny cant find Balls Pls follow ApstFortune ReadAcrossAmericaDay onthestreet sexlife
"They, @inecnigeria, are apparently scared of their 'shady' shadows.

If not, give me another definition of ""fraud"". 

In decent climes, distinction is not made between them &amp; scams!💯

#INECFailedNigerians #INECElectionResult #StolenMandate #ObiWon https://t.co/1ziewRzFec",negative,inecnigeria apparently scared shady shadows give another definition fraud decent climes distinction made amp scams INECFailedNigerians INECElectionResult StolenMandate ObiWon
"RT @NapThecrazy: This is the Nigeria  we have today...
See what a Lawyer tweeted.

#electionresults2023 BVAS  Section 299 #INECElectionResu…",neutral,RT NapThecrazy Nigeria today See Lawyer tweeted electionresults2023 BVAS Section 299 INECElectionResu
"RT @firstladyshipPA: shows over voting.. it shows 552 accredited voters.. PDP - 348, APC - 175, LP - 0..  #INECElectionResult #INECIsCorrup…",neutral,RT firstladyshipPA shows voting shows 552 accredited voters PDP 348 APC 175 LP 0 INECElectionResult INECIsCorrup
"RT @rockrubber: @HisKnowledgeabl @inecnigeria chairman should step outside and face investigating panels....

He committed treason.....

#I…",neutral,RT rockrubber HisKnowledgeabl inecnigeria chairman step outside face investigating panels committed treason
RT @AnonXNG: Here is the Uninfluenced LAGOS STATE Results collected by party agents from live polling units before magic was preformed at t…,positive,RT AnonXNG Uninfluenced LAGOS STATE Results collected party agents live polling units magic preformed
RT @MausamNepal8: Lovers #19years #BABYMONSTERLastEvaluation #incorvassi #Maandamano #SatishKaushik #asia #snow #BBTitans #Crypto #asian #B…,neutral,RT MausamNepal8 Lovers 19years BABYMONSTERLastEvaluation incorvassi Maandamano SatishKaushik asia snow BBTitans Crypto asian B
"RT @ObiDientTvHQ: On our tops stories this morning 
How we undo ourselves 
Inside story of how INEC plotted to glitch on the BVAS ahead of…",neutral,RT ObiDientTvHQ tops stories morning undo Inside story INEC plotted glitch BVAS ahead
"RT @rockrubber: @BolanleCole @Idjjosiah @inecnigeria chairman should step outside and face investigating panels....

He committed treason..…",neutral,RT rockrubber BolanleCole Idjjosiah inecnigeria chairman step outside face investigating panels committed treason
"RT @ApstFortune: So funny! He can't find his Balls 😅🤣😂

Pls follow: @ApstFortune

#ReadAcrossAmericaDay      #on_the_street     #sexlife…",positive,RT ApstFortune funny cant find Balls Pls follow ApstFortune ReadAcrossAmericaDay onthestreet sexlife
"RT @Nino14th: ""My mum is the best! She always want the best for all of us!""

Which person mama come be this?

#INECElectionResult #INECIsCo…",positive,RT Nino14th mum best always want best us person mama come INECElectionResult INECIsCo
Lovers #19years #BABYMONSTERLastEvaluation #incorvassi #Maandamano #SatishKaushik #asia #snow #BBTitans #Crypto #asian #BaddiesWest #hindcopper #Euphoria #DiorAW23 #DiorAW23 #Earth #ENGvsNZ #songs #EuroLeague #INECElectionResult  #IndvsAus #GreeceTrainAccident #bcstorm #FACup https://t.co/dr1RJcWkK5,neutral,Lovers 19years BABYMONSTERLastEvaluation incorvassi Maandamano SatishKaushik asia snow BBTitans Crypto asian BaddiesWest hindcopper Euphoria DiorAW23 DiorAW23 Earth ENGvsNZ songs EuroLeague INECElectionResult IndvsAus GreeceTrainAccident bcstorm FACup
"RT @ST_Flex_: Nigerians when we go protect, my daughter is just a few months old and me no for allow her get president like BAT we either c…",negative,RT STFlex Nigerians go protect daughter months old allow get president like BAT either c
"RT @stephenzico: Power to the people  ☔  but they would rather labour in vain with broom and corn 🌽 in their pockets 😭
#INECElectionResult",neutral,RT stephenzico Power people would rather labour vain broom corn pockets INECElectionResult
"RT @rockrubber: @BolanleCole @Idjjosiah @inecnigeria chairman should step outside and face investigating panels....

He committed treason..…",neutral,RT rockrubber BolanleCole Idjjosiah inecnigeria chairman step outside face investigating panels committed treason
"RT @Amaka_Tochukwu: Na my State be this!!!! PROUDLY DELTA
WE DELIVERED 
Delta State is OBI-dient💚🤍💚
#electionresults2023 
#INECElectionResu…",positive,RT AmakaTochukwu Na State PROUDLY DELTA DELIVERED Delta State OBIdient electionresults2023 INECElectionResu
As we wait continue to navigate through these elections. I highly recommend  these YouTube documentaries.  1. https://t.co/MEQguOYihf 2. https://t.co/FD7n9l7r8Q 3. https://t.co/5WRd97Zt6S    #NigeriaDecides2023 #INECElectionResult,positive,wait continue navigate elections highly recommend YouTube documentaries 1 2 3 NigeriaDecides2023 INECElectionResult
"RT @ApstFortune: So funny! He can't find his Balls 😅🤣😂

Pls follow: @ApstFortune

#ReadAcrossAmericaDay      #on_the_street     #sexlife…",positive,RT ApstFortune funny cant find Balls Pls follow ApstFortune ReadAcrossAmericaDay onthestreet sexlife
"@Kristien44 @Elijah813555104 @inecnigeria @inecnigeria chairman should step outside and face investigating panels....

He committed treason.....

#INECElectionResult 
#INECIsCorrupt 
#INECFailedNigerians 

Revolution must start in judiciary",neutral,Kristien44 Elijah813555104 inecnigeria inecnigeria chairman step outside face investigating panels committed treason INECElectionResult INECIsCorrupt INECFailedNigerians Revolution must start judiciary
"@babastundey @Idjjosiah @GRVlagos @OfficialAPCNg @ishowoabdul1 @inecnigeria chairman should step outside and face investigating panels....

He committed treason.....

#INECElectionResult 
#INECIsCorrupt 
#INECFailedNigerians 

Revolution must start in judiciary",neutral,babastundey Idjjosiah GRVlagos OfficialAPCNg ishowoabdul1 inecnigeria chairman step outside face investigating panels committed treason INECElectionResult INECIsCorrupt INECFailedNigerians Revolution must start judiciary
"@BolanleCole @Idjjosiah @inecnigeria chairman should step outside and face investigating panels....

He committed treason.....

#INECElectionResult 
#INECIsCorrupt 
#INECFailedNigerians 

Revolution must start in judiciary",neutral,BolanleCole Idjjosiah inecnigeria chairman step outside face investigating panels committed treason INECElectionResult INECIsCorrupt INECFailedNigerians Revolution must start judiciary
